21  12  0 0 0   9   1   1
1   0.025  0.025  1.0
1   0.0
      1           0.           3.
      2           0.           0.
      3           2.           0.
      4           2.           1.
      5           5.           1.
      6           5.           3.
      7           0.           2.
      8           0.           1.
      9           1.           0.
     10           3.           1.
     11           4.           1.
     12           5.           2.
     13           4.           3.
     14           3.           3.
     15           2.           3.
     16           1.           3.
     17   3.99952102   2.00369525
     18   1.00074506   1.00073576
     19   1.99924994   2.00574851
     20   2.99977016   2.00294924
     21   1.00009143   2.00193477
 1 20 14 15 19  1   1
 2 12 17 11  5  1   1
 3  4 18  9  3  1   1
 4 18  4 19 21  1   1
 5  8 18 21  7  1   1
 6  8  2  9 18  1   1
 7 13 17 12  6  1   1
 8 17 20 10 11  1   1
 9  1  7 21 16  1   1
10 17 13 14 20  1   1
11 20 19  4 10  1   1
12 19 15 16 21  1   1
3   4   0.0002 400
2   3   0.0002 400
8   3   0.0002 400
11  3   0.0002 400
1   2   0.001    1700
10  2   0.001     1700
12  2   0.001     1700
7   4   0.001     1700
9   4   0.001     1700
