 25  16  0  13  0   4   1  1 
 1  1.000000  1.000000  1.000000 
1  0.000000 
1  0.000000  0.000000 
2  0.250000  0.000000 
3  0.500000  0.000000 
4  0.750000  0.000000 
5  1.000000  0.000000 
6  0.000000  0.250000 
7  0.250000  0.250000 
8  0.500000  0.250000 
9  0.750000  0.250000 
10  1.000000  0.250000 
11  0.000000  0.500000 
12  0.250000  0.500000 
13  0.500000  0.500000 
14  0.750000  0.500000 
15  1.000000  0.500000 
16  0.000000  0.750000 
17  0.250000  0.750000 
18  0.500000  0.750000 
19  0.750000  0.750000 
20  1.000000  0.750000 
21  0.000000  1.000000 
22  0.250000  1.000000 
23  0.500000  1.000000 
24  0.750000  1.000000 
25  1.000000  1.000000 
1 1  2  7  6 1  1 
2 2  3  8  7 1  1 
3 3  4  9  8 1  1 
4 4  5  10  9 1  1 
5 6  7  12  11 1  1 
6 7  8  13  12 1  1 
7 8  9  14  13 1  1 
8 9  10  15  14 1  1 
9 11  12  17  16 1  1 
10 12  13  18  17 1  1 
11 13  14  19  18 1  1 
12 14  15  20  19 1  1 
13 16  17  22  21 1  1 
14 17  18  23  22 1  1 
15 18  19  24  23 1  1 
16 19  20  25  24 1  1 
21 1 500.000000
22 1 500.000000
23 1 500.000000
24 1 500.000000
25 1 500.000000
1 1 500.000000
6 1 500.000000
11 1 500.000000
16 1 500.000000
5 1 500.000000
10 1 500.000000
15 1 500.000000
20 1 500.000000
1 1  10.000000 300.000000
2 1  10.000000 300.000000
3 1  10.000000 300.000000
4 1  10.000000 300.000000
